,min,max,shape,spacing
426_426_0_brain_t1c.nii.gz,0.0,609.5469360351562,"(240, 240, 155)","(1.0, 1.0, 1.0)"
359_359_0_brain_t1c.nii.gz,0.0,828.1194458007812,"(240, 240, 155)","(1.0, 1.0, 1.0)"
391_391_0_brain_t1c.nii.gz,0.0,886.4908447265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
229_229_0_brain_t1c.nii.gz,0.0,915.4312744140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
399_399_0_brain_t1c.nii.gz,0.0,937.2755126953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
203_203_0_brain_t1c.nii.gz,0.0,957.6045532226562,"(240, 240, 155)","(1.0, 1.0, 1.0)"
7_7_0_brain_t1c.nii.gz,0.0,981.7806396484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
33_33_0_brain_t1c.nii.gz,0.0,982.3412475585938,"(240, 240, 155)","(1.0, 1.0, 1.0)"
104_104_0_brain_t1c.nii.gz,0.0,1020.76220703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
63_63_0_brain_t1c.nii.gz,0.0,1125.701904296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
107_107_0_brain_t1c.nii.gz,0.0,1142.5184326171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
222_222_0_brain_t1c.nii.gz,0.0,1164.7056884765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
404_404_0_brain_t1c.nii.gz,0.0,1172.322021484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
64_64_0_brain_t1c.nii.gz,0.0,1193.77783203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
209_209_0_brain_t1c.nii.gz,0.0,1276.9375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
44_44_0_brain_t1c.nii.gz,0.0,1299.7686767578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
50_50_0_brain_t1c.nii.gz,0.0,1351.9718017578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
219_219_0_brain_t1c.nii.gz,0.0,1441.065673828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
47_47_0_brain_t1c.nii.gz,0.0,1525.76904296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
125_125_0_brain_t1c.nii.gz,0.0,1558.0380859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
111_111_0_brain_t1c.nii.gz,0.0,1576.9285888671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
405_405_0_brain_t1c.nii.gz,0.0,1579.35400390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
424_424_0_brain_t1c.nii.gz,0.0,1633.427978515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
220_220_0_brain_t1c.nii.gz,0.0,1660.226318359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
98_98_0_brain_t1c.nii.gz,0.0,1680.5947265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
436_436_0_brain_t1c.nii.gz,0.0,1811.6722412109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
41_41_0_brain_t1c.nii.gz,0.0,1967.061767578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
24_24_0_brain_t1c.nii.gz,0.0,1997.5382080078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
113_113_0_brain_t1c.nii.gz,0.0,2164.14111328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
367_367_0_brain_t1c.nii.gz,0.0,2219.01025390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
423_423_0_brain_t1c.nii.gz,0.0,2290.3134765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
95_95_0_brain_t1c.nii.gz,0.0,2508.244140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
354_354_0_brain_t1c.nii.gz,0.0,2571.1416015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
84_84_0_brain_t1c.nii.gz,0.0,2612.4462890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
211_211_0_brain_t1c.nii.gz,0.0,2644.24560546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
3_3_0_brain_t1c.nii.gz,0.0,2700.4853515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
375_375_0_brain_t1c.nii.gz,0.0,2747.271484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
8_8_0_brain_t1c.nii.gz,0.0,2769.203857421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
406_406_0_brain_t1c.nii.gz,0.0,2799.46044921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
429_429_0_brain_t1c.nii.gz,0.0,2802.6630859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
379_379_0_brain_t1c.nii.gz,0.0,2823.4755859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
400_400_0_brain_t1c.nii.gz,0.0,2862.857421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
383_383_0_brain_t1c.nii.gz,0.0,2872.067138671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
4_4_0_brain_t1c.nii.gz,0.0,2914.328857421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
396_396_0_brain_t1c.nii.gz,0.0,2926.034912109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
416_416_0_brain_t1c.nii.gz,0.0,2937.08837890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
432_432_0_brain_t1c.nii.gz,0.0,2942.093017578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
78_78_0_brain_t1c.nii.gz,0.0,2947.368408203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
409_409_0_brain_t1c.nii.gz,0.0,2971.38720703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
414_414_0_brain_t1c.nii.gz,0.0,2987.60546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
131_131_0_brain_t1c.nii.gz,0.0,3014.527099609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
102_102_0_brain_t1c.nii.gz,0.0,3029.052978515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
204_204_0_brain_t1c.nii.gz,0.0,3044.8779296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
398_398_0_brain_t1c.nii.gz,0.0,3077.110107421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
395_395_0_brain_t1c.nii.gz,0.0,3082.610107421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
394_394_0_brain_t1c.nii.gz,0.0,3083.265869140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
194_194_0_brain_t1c.nii.gz,0.0,3118.32763671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
363_363_0_brain_t1c.nii.gz,0.0,3128.926025390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
66_66_0_brain_t1c.nii.gz,0.0,3136.276123046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
195_195_0_brain_t1c.nii.gz,0.0,3140.840087890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
225_225_0_brain_t1c.nii.gz,0.0,3169.1484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
353_353_0_brain_t1c.nii.gz,0.0,3179.578857421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
142_142_0_brain_t1c.nii.gz,0.0,3200.547607421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
11_11_0_brain_t1c.nii.gz,0.0,3242.74462890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
35_35_0_brain_t1c.nii.gz,0.0,3243.321044921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
130_130_0_brain_t1c.nii.gz,0.0,3243.6591796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
46_46_0_brain_t1c.nii.gz,0.0,3282.686767578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
97_97_0_brain_t1c.nii.gz,0.0,3309.567138671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
218_218_0_brain_t1c.nii.gz,0.0,3310.936279296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
205_205_0_brain_t1c.nii.gz,0.0,3340.842529296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
61_61_0_brain_t1c.nii.gz,0.0,3352.298583984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
428_428_0_brain_t1c.nii.gz,0.0,3356.4267578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
6_6_0_brain_t1c.nii.gz,0.0,3405.518310546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
372_372_0_brain_t1c.nii.gz,0.0,3405.717041015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
116_116_0_brain_t1c.nii.gz,0.0,3425.325927734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
69_69_0_brain_t1c.nii.gz,0.0,3430.360107421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
106_106_0_brain_t1c.nii.gz,0.0,3486.09228515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
119_119_0_brain_t1c.nii.gz,0.0,3508.63037109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
105_105_0_brain_t1c.nii.gz,0.0,3509.157470703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
65_65_0_brain_t1c.nii.gz,0.0,3516.828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
196_196_0_brain_t1c.nii.gz,0.0,3520.65673828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
141_141_0_brain_t1c.nii.gz,0.0,3534.55810546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
83_83_0_brain_t1c.nii.gz,0.0,3544.744384765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
356_356_0_brain_t1c.nii.gz,0.0,3546.874267578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
94_94_0_brain_t1c.nii.gz,0.0,3552.076171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
212_212_0_brain_t1c.nii.gz,0.0,3565.661376953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
421_421_0_brain_t1c.nii.gz,0.0,3574.42578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
67_67_0_brain_t1c.nii.gz,0.0,3582.7177734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
