,min,max,shape,spacing
426_426_0_brain_t1n.nii.gz,0.0,296.461669921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
359_359_0_brain_t1n.nii.gz,0.0,438.6684875488281,"(240, 240, 155)","(1.0, 1.0, 1.0)"
399_399_0_brain_t1n.nii.gz,0.0,442.92706298828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
203_203_0_brain_t1n.nii.gz,0.0,466.112060546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
104_104_0_brain_t1n.nii.gz,0.0,654.4149169921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
391_391_0_brain_t1n.nii.gz,0.0,762.8280639648438,"(240, 240, 155)","(1.0, 1.0, 1.0)"
33_33_0_brain_t1n.nii.gz,0.0,773.1696166992188,"(240, 240, 155)","(1.0, 1.0, 1.0)"
63_63_0_brain_t1n.nii.gz,0.0,814.0336303710938,"(240, 240, 155)","(1.0, 1.0, 1.0)"
229_229_0_brain_t1n.nii.gz,0.0,815.1285400390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
107_107_0_brain_t1n.nii.gz,0.0,834.2156372070312,"(240, 240, 155)","(1.0, 1.0, 1.0)"
7_7_0_brain_t1n.nii.gz,0.0,838.29150390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
219_219_0_brain_t1n.nii.gz,0.0,840.7359008789062,"(240, 240, 155)","(1.0, 1.0, 1.0)"
209_209_0_brain_t1n.nii.gz,0.0,896.4620361328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
64_64_0_brain_t1n.nii.gz,0.0,1025.4527587890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
98_98_0_brain_t1n.nii.gz,0.0,1072.934326171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
50_50_0_brain_t1n.nii.gz,0.0,1083.969482421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
110_110_0_brain_t1n.nii.gz,0.0,1107.457275390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
222_222_0_brain_t1n.nii.gz,0.0,1129.8648681640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
424_424_0_brain_t1n.nii.gz,0.0,1151.4332275390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
367_367_0_brain_t1n.nii.gz,0.0,1171.443359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
47_47_0_brain_t1n.nii.gz,0.0,1195.9951171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
44_44_0_brain_t1n.nii.gz,0.0,1218.9578857421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
3_3_0_brain_t1n.nii.gz,0.0,1297.021484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
375_375_0_brain_t1n.nii.gz,0.0,1314.09619140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
131_131_0_brain_t1n.nii.gz,0.0,1338.8829345703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
66_66_0_brain_t1n.nii.gz,0.0,1350.5889892578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
218_218_0_brain_t1n.nii.gz,0.0,1354.8922119140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
398_398_0_brain_t1n.nii.gz,0.0,1358.739990234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
220_220_0_brain_t1n.nii.gz,0.0,1375.7506103515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
41_41_0_brain_t1n.nii.gz,0.0,1394.789794921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
396_396_0_brain_t1n.nii.gz,0.0,1394.8463134765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
379_379_0_brain_t1n.nii.gz,0.0,1437.2349853515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
97_97_0_brain_t1n.nii.gz,0.0,1440.155029296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
4_4_0_brain_t1n.nii.gz,0.0,1446.2032470703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
414_414_0_brain_t1n.nii.gz,0.0,1462.3623046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
82_82_0_brain_t1n.nii.gz,0.0,1478.1278076171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
56_56_0_brain_t1n.nii.gz,0.0,1508.1854248046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
405_405_0_brain_t1n.nii.gz,0.0,1557.2978515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
195_195_0_brain_t1n.nii.gz,0.0,1558.090576171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
105_105_0_brain_t1n.nii.gz,0.0,1585.2388916015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
436_436_0_brain_t1n.nii.gz,0.0,1587.4151611328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
404_404_0_brain_t1n.nii.gz,0.0,1591.94580078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
353_353_0_brain_t1n.nii.gz,0.0,1592.8626708984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
192_192_0_brain_t1n.nii.gz,0.0,1595.8072509765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
194_194_0_brain_t1n.nii.gz,0.0,1596.782470703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
363_363_0_brain_t1n.nii.gz,0.0,1599.2615966796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
205_205_0_brain_t1n.nii.gz,0.0,1605.5601806640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
38_38_0_brain_t1n.nii.gz,0.0,1611.29052734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
227_227_0_brain_t1n.nii.gz,0.0,1619.0374755859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
106_106_0_brain_t1n.nii.gz,0.0,1634.27294921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
196_196_0_brain_t1n.nii.gz,0.0,1639.882568359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
24_24_0_brain_t1n.nii.gz,0.0,1639.9342041015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
366_366_0_brain_t1n.nii.gz,0.0,1649.3385009765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
76_76_0_brain_t1n.nii.gz,0.0,1649.68359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
383_383_0_brain_t1n.nii.gz,0.0,1660.183349609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
78_78_0_brain_t1n.nii.gz,0.0,1672.628662109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
139_139_0_brain_t1n.nii.gz,0.0,1691.056640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
141_141_0_brain_t1n.nii.gz,0.0,1695.2799072265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
395_395_0_brain_t1n.nii.gz,0.0,1696.865234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
356_356_0_brain_t1n.nii.gz,0.0,1697.9378662109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
113_113_0_brain_t1n.nii.gz,0.0,1699.4805908203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
125_125_0_brain_t1n.nii.gz,0.0,1730.2642822265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
204_204_0_brain_t1n.nii.gz,0.0,1733.531494140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
69_69_0_brain_t1n.nii.gz,0.0,1747.6685791015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
16_16_0_brain_t1n.nii.gz,0.0,1749.5350341796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
421_421_0_brain_t1n.nii.gz,0.0,1753.933349609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
394_394_0_brain_t1n.nii.gz,0.0,1766.2823486328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
1_1_0_brain_t1n.nii.gz,0.0,1767.5692138671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
423_423_0_brain_t1n.nii.gz,0.0,1782.7451171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
354_354_0_brain_t1n.nii.gz,0.0,1786.6802978515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
406_406_0_brain_t1n.nii.gz,0.0,1799.86669921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
61_61_0_brain_t1n.nii.gz,0.0,1806.0408935546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
409_409_0_brain_t1n.nii.gz,0.0,1831.8883056640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
65_65_0_brain_t1n.nii.gz,0.0,1835.298828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
199_199_0_brain_t1n.nii.gz,0.0,1843.77734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
201_201_0_brain_t1n.nii.gz,0.0,1852.7559814453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
432_432_0_brain_t1n.nii.gz,0.0,1856.39453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
428_428_0_brain_t1n.nii.gz,0.0,1856.753173828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
225_225_0_brain_t1n.nii.gz,0.0,1857.1181640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
