,min,max,shape,spacing
426_426_0_brain_t2f.nii.gz,0.0,177.82559204101562,"(240, 240, 155)","(1.0, 1.0, 1.0)"
359_359_0_brain_t2f.nii.gz,0.0,385.08380126953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
404_404_0_brain_t2f.nii.gz,0.0,477.39923095703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
399_399_0_brain_t2f.nii.gz,0.0,489.6925354003906,"(240, 240, 155)","(1.0, 1.0, 1.0)"
368_368_0_brain_t2f.nii.gz,0.0,542.0761108398438,"(240, 240, 155)","(1.0, 1.0, 1.0)"
424_424_0_brain_t2f.nii.gz,0.0,670.7205200195312,"(240, 240, 155)","(1.0, 1.0, 1.0)"
203_203_0_brain_t2f.nii.gz,0.0,694.0523071289062,"(240, 240, 155)","(1.0, 1.0, 1.0)"
125_125_0_brain_t2f.nii.gz,0.0,732.89306640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
98_98_0_brain_t2f.nii.gz,0.0,741.25390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
33_33_0_brain_t2f.nii.gz,0.0,770.9343872070312,"(240, 240, 155)","(1.0, 1.0, 1.0)"
47_47_0_brain_t2f.nii.gz,0.0,787.2576904296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
229_229_0_brain_t2f.nii.gz,0.0,807.5636596679688,"(240, 240, 155)","(1.0, 1.0, 1.0)"
361_361_0_brain_t2f.nii.gz,0.0,808.3558959960938,"(240, 240, 155)","(1.0, 1.0, 1.0)"
7_7_0_brain_t2f.nii.gz,0.0,814.3922729492188,"(240, 240, 155)","(1.0, 1.0, 1.0)"
113_113_0_brain_t2f.nii.gz,0.0,818.759521484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
219_219_0_brain_t2f.nii.gz,0.0,838.4849853515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
199_199_0_brain_t2f.nii.gz,0.0,842.2093505859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
209_209_0_brain_t2f.nii.gz,0.0,845.046630859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
44_44_0_brain_t2f.nii.gz,0.0,867.6409912109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
3_3_0_brain_t2f.nii.gz,0.0,893.0455932617188,"(240, 240, 155)","(1.0, 1.0, 1.0)"
84_84_0_brain_t2f.nii.gz,0.0,927.6101684570312,"(240, 240, 155)","(1.0, 1.0, 1.0)"
195_195_0_brain_t2f.nii.gz,0.0,933.0301513671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
104_104_0_brain_t2f.nii.gz,0.0,959.598388671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
66_66_0_brain_t2f.nii.gz,0.0,995.2650756835938,"(240, 240, 155)","(1.0, 1.0, 1.0)"
50_50_0_brain_t2f.nii.gz,0.0,1017.8392944335938,"(240, 240, 155)","(1.0, 1.0, 1.0)"
4_4_0_brain_t2f.nii.gz,0.0,1038.994873046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
11_11_0_brain_t2f.nii.gz,0.0,1050.93896484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
220_220_0_brain_t2f.nii.gz,0.0,1052.568359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
64_64_0_brain_t2f.nii.gz,0.0,1062.3489990234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
9_9_0_brain_t2f.nii.gz,0.0,1080.43359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
194_194_0_brain_t2f.nii.gz,0.0,1080.852294921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
391_391_0_brain_t2f.nii.gz,0.0,1082.1629638671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
8_8_0_brain_t2f.nii.gz,0.0,1088.616943359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
130_130_0_brain_t2f.nii.gz,0.0,1096.8756103515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
110_110_0_brain_t2f.nii.gz,0.0,1100.35693359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
103_103_0_brain_t2f.nii.gz,0.0,1120.5081787109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
398_398_0_brain_t2f.nii.gz,0.0,1125.7506103515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
31_31_0_brain_t2f.nii.gz,0.0,1126.188232421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
227_227_0_brain_t2f.nii.gz,0.0,1131.712890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
92_92_0_brain_t2f.nii.gz,0.0,1142.8616943359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
76_76_0_brain_t2f.nii.gz,0.0,1148.8621826171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
202_202_0_brain_t2f.nii.gz,0.0,1166.7767333984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
68_68_0_brain_t2f.nii.gz,0.0,1171.7470703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
67_67_0_brain_t2f.nii.gz,0.0,1172.59326171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
77_77_0_brain_t2f.nii.gz,0.0,1177.464599609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
196_196_0_brain_t2f.nii.gz,0.0,1182.4962158203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
379_379_0_brain_t2f.nii.gz,0.0,1187.519287109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
218_218_0_brain_t2f.nii.gz,0.0,1187.6339111328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
226_226_0_brain_t2f.nii.gz,0.0,1189.25830078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
119_119_0_brain_t2f.nii.gz,0.0,1193.537109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
56_56_0_brain_t2f.nii.gz,0.0,1197.8980712890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
65_65_0_brain_t2f.nii.gz,0.0,1203.4716796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
81_81_0_brain_t2f.nii.gz,0.0,1209.44921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
1_1_0_brain_t2f.nii.gz,0.0,1211.4864501953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
204_204_0_brain_t2f.nii.gz,0.0,1248.4210205078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
131_131_0_brain_t2f.nii.gz,0.0,1259.322265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
96_96_0_brain_t2f.nii.gz,0.0,1260.5159912109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
383_383_0_brain_t2f.nii.gz,0.0,1264.009521484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
106_106_0_brain_t2f.nii.gz,0.0,1270.359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
141_141_0_brain_t2f.nii.gz,0.0,1271.0814208984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
205_205_0_brain_t2f.nii.gz,0.0,1274.627197265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
193_193_0_brain_t2f.nii.gz,0.0,1283.5374755859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
210_210_0_brain_t2f.nii.gz,0.0,1283.7457275390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
78_78_0_brain_t2f.nii.gz,0.0,1300.0146484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
38_38_0_brain_t2f.nii.gz,0.0,1316.678466796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
82_82_0_brain_t2f.nii.gz,0.0,1325.368896484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
142_142_0_brain_t2f.nii.gz,0.0,1328.6282958984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
83_83_0_brain_t2f.nii.gz,0.0,1330.30322265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
94_94_0_brain_t2f.nii.gz,0.0,1335.5133056640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
217_217_0_brain_t2f.nii.gz,0.0,1336.051025390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
80_80_0_brain_t2f.nii.gz,0.0,1340.8486328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
114_114_0_brain_t2f.nii.gz,0.0,1342.4146728515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
410_410_0_brain_t2f.nii.gz,0.0,1343.8944091796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
216_216_0_brain_t2f.nii.gz,0.0,1362.4691162109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
107_107_0_brain_t2f.nii.gz,0.0,1369.62109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
102_102_0_brain_t2f.nii.gz,0.0,1375.0604248046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
434_434_0_brain_t2f.nii.gz,0.0,1384.49267578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
75_75_0_brain_t2f.nii.gz,0.0,1386.2078857421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
354_354_0_brain_t2f.nii.gz,0.0,1394.0391845703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
420_420_0_brain_t2f.nii.gz,0.0,1395.994384765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
41_41_0_brain_t2f.nii.gz,0.0,1396.0003662109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
69_69_0_brain_t2f.nii.gz,0.0,1396.103759765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
43_43_0_brain_t2f.nii.gz,0.0,1396.4044189453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
73_73_0_brain_t2f.nii.gz,0.0,1396.93408203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
139_139_0_brain_t2f.nii.gz,0.0,1398.1663818359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
61_61_0_brain_t2f.nii.gz,0.0,1401.37158203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
353_353_0_brain_t2f.nii.gz,0.0,1403.1727294921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
74_74_0_brain_t2f.nii.gz,0.0,1416.6387939453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
201_201_0_brain_t2f.nii.gz,0.0,1422.3980712890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
375_375_0_brain_t2f.nii.gz,0.0,1422.7392578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
395_395_0_brain_t2f.nii.gz,0.0,1429.2650146484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
89_89_0_brain_t2f.nii.gz,0.0,1429.375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
128_128_0_brain_t2f.nii.gz,0.0,1438.3253173828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
6_6_0_brain_t2f.nii.gz,0.0,1450.439453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
87_87_0_brain_t2f.nii.gz,0.0,1472.799072265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
215_215_0_brain_t2f.nii.gz,0.0,1476.7105712890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
214_214_0_brain_t2f.nii.gz,0.0,1478.163818359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
137_137_0_brain_t2f.nii.gz,0.0,1479.52734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
129_129_0_brain_t2f.nii.gz,0.0,1483.753173828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
85_85_0_brain_t2f.nii.gz,0.0,1488.2960205078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
63_63_0_brain_t2f.nii.gz,0.0,1489.67041015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
211_211_0_brain_t2f.nii.gz,0.0,1502.85498046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
111_111_0_brain_t2f.nii.gz,0.0,1505.41455078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
356_356_0_brain_t2f.nii.gz,0.0,1512.4781494140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
228_228_0_brain_t2f.nii.gz,0.0,1522.839111328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
46_46_0_brain_t2f.nii.gz,0.0,1534.927001953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
224_224_0_brain_t2f.nii.gz,0.0,1541.927978515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
99_99_0_brain_t2f.nii.gz,0.0,1555.3319091796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
97_97_0_brain_t2f.nii.gz,0.0,1564.26904296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
213_213_0_brain_t2f.nii.gz,0.0,1584.974609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
212_212_0_brain_t2f.nii.gz,0.0,1588.234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
105_105_0_brain_t2f.nii.gz,0.0,1594.781982421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
95_95_0_brain_t2f.nii.gz,0.0,1608.8267822265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
192_192_0_brain_t2f.nii.gz,0.0,1625.4586181640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
406_406_0_brain_t2f.nii.gz,0.0,1633.99462890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
374_374_0_brain_t2f.nii.gz,0.0,1634.6688232421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
222_222_0_brain_t2f.nii.gz,0.0,1635.598876953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
90_90_0_brain_t2f.nii.gz,0.0,1653.19482421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
372_372_0_brain_t2f.nii.gz,0.0,1674.384521484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
432_432_0_brain_t2f.nii.gz,0.0,1683.6610107421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
86_86_0_brain_t2f.nii.gz,0.0,1688.1839599609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
115_115_0_brain_t2f.nii.gz,0.0,1717.1483154296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
91_91_0_brain_t2f.nii.gz,0.0,1758.0281982421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
363_363_0_brain_t2f.nii.gz,0.0,1831.6505126953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
429_429_0_brain_t2f.nii.gz,0.0,1851.3167724609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
16_16_0_brain_t2f.nii.gz,0.0,1872.262939453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
60_60_0_brain_t2f.nii.gz,0.0,1876.4169921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
436_436_0_brain_t2f.nii.gz,0.0,1888.4302978515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
