,min,max,shape,spacing
1_1_0_brain_t2w.nii.gz,0.0,0.0,"(240, 240, 155)","(1.0, 1.0, 1.0)"
404_404_0_brain_t2w.nii.gz,0.0,609.3964233398438,"(240, 240, 155)","(1.0, 1.0, 1.0)"
98_98_0_brain_t2w.nii.gz,0.0,807.8453369140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
426_426_0_brain_t2w.nii.gz,0.0,859.7205810546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
33_33_0_brain_t2w.nii.gz,0.0,966.0458374023438,"(240, 240, 155)","(1.0, 1.0, 1.0)"
424_424_0_brain_t2w.nii.gz,0.0,1090.886962890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
203_203_0_brain_t2w.nii.gz,0.0,1143.682373046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
104_104_0_brain_t2w.nii.gz,0.0,1163.645751953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
7_7_0_brain_t2w.nii.gz,0.0,1171.7008056640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
47_47_0_brain_t2w.nii.gz,0.0,1191.010498046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
229_229_0_brain_t2w.nii.gz,0.0,1280.20556640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
391_391_0_brain_t2w.nii.gz,0.0,1326.20849609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
199_199_0_brain_t2w.nii.gz,0.0,1384.847900390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
209_209_0_brain_t2w.nii.gz,0.0,1391.1519775390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
219_219_0_brain_t2w.nii.gz,0.0,1447.8902587890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
64_64_0_brain_t2w.nii.gz,0.0,1493.83837890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
63_63_0_brain_t2w.nii.gz,0.0,1510.689208984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
50_50_0_brain_t2w.nii.gz,0.0,1513.3363037109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
220_220_0_brain_t2w.nii.gz,0.0,1606.5189208984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
44_44_0_brain_t2w.nii.gz,0.0,1634.3685302734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
222_222_0_brain_t2w.nii.gz,0.0,1652.853515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
107_107_0_brain_t2w.nii.gz,0.0,1695.9337158203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
125_125_0_brain_t2w.nii.gz,0.0,1730.2642822265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
113_113_0_brain_t2w.nii.gz,0.0,1730.8173828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
41_41_0_brain_t2w.nii.gz,0.0,1824.2001953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
399_399_0_brain_t2w.nii.gz,0.0,1901.1270751953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
116_116_0_brain_t2w.nii.gz,0.0,1988.6475830078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
359_359_0_brain_t2w.nii.gz,0.0,2034.4525146484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
405_405_0_brain_t2w.nii.gz,0.0,2130.83544921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
111_111_0_brain_t2w.nii.gz,0.0,2178.6337890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
396_396_0_brain_t2w.nii.gz,0.0,2255.543701171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
110_110_0_brain_t2w.nii.gz,0.0,2388.630126953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
368_368_0_brain_t2w.nii.gz,0.0,2456.359130859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
436_436_0_brain_t2w.nii.gz,0.0,2492.17041015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
394_394_0_brain_t2w.nii.gz,0.0,2525.046630859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
202_202_0_brain_t2w.nii.gz,0.0,2529.1337890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
119_119_0_brain_t2w.nii.gz,0.0,2540.476318359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
84_84_0_brain_t2w.nii.gz,0.0,2589.730712890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
367_367_0_brain_t2w.nii.gz,0.0,2663.03173828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
38_38_0_brain_t2w.nii.gz,0.0,2693.499267578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
